Options:
Model:                           Discrete: Independent
Tree File Name:                  Primates.trees
Data File Name:                  Primates.txt
Log File Name:                   Primates_discrete_independent.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3674852225
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   Primates_discrete_independent.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      500
     Taxa:                       60
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
171000	-45.358730	218	0.665414	8.016228	6.377636	5.327797	0.162445	0.118789	0.415171	0.303596	
172000	-41.716458	198	0.366235	3.887014	3.610814	4.862327	0.171447	0.100265	0.459541	0.268747	
173000	-41.575492	241	1.371160	3.909112	3.126622	1.966980	0.498505	0.083698	0.357734	0.060063	
174000	-42.743418	404	0.290928	7.575491	2.660961	0.575997	0.306641	0.002650	0.684790	0.005919	
175000	-41.382048	136	0.559203	3.785059	3.993732	2.770381	0.253783	0.061374	0.551476	0.133367	
176000	-41.397772	497	0.990602	3.369633	3.450510	1.275296	0.664884	0.036881	0.282561	0.015674	
177000	-40.385064	359	1.571231	6.755066	1.967814	2.011346	0.417537	0.084901	0.413484	0.084077	
178000	-43.182842	225	1.237509	4.030396	4.594559	5.747528	0.358029	0.281925	0.201432	0.158615	
179000	-46.563350	441	1.412366	2.725279	2.888550	7.615050	0.317246	0.394553	0.128450	0.159751	
180000	-43.555770	309	0.739642	2.912017	6.249056	1.373660	0.680582	0.049764	0.251280	0.018373	
181000	-39.700811	38	0.700704	1.613218	2.104808	1.664835	0.822401	0.089280	0.079669	0.008649	
182000	-41.063760	25	0.857976	5.523871	2.419815	1.945096	0.330092	0.055701	0.525526	0.088680	
183000	-42.013087	199	1.332103	3.640149	1.888965	3.164309	0.382758	0.251877	0.220357	0.145008	
184000	-42.153755	54	1.148029	4.424576	2.545258	2.259384	0.470192	0.106660	0.344907	0.078240	
185000	-45.581259	114	1.945817	4.301494	5.093947	2.163660	0.492592	0.128774	0.300164	0.078469	
186000	-41.532375	177	1.516055	3.710170	4.361464	1.776049	0.595167	0.095809	0.266175	0.042849	
187000	-41.617376	374	1.218814	6.732260	3.475618	2.881108	0.397770	0.102978	0.396582	0.102670	
188000	-41.554397	482	1.366884	3.115673	2.957562	0.578712	0.817868	0.005267	0.175733	0.001132	
189000	-42.704153	406	1.675431	2.065455	2.199991	2.402108	0.622531	0.242573	0.097072	0.037825	
190000	-41.596122	87	1.618412	3.388243	2.361227	0.977812	0.701052	0.028884	0.259377	0.010687	
191000	-40.111288	38	1.313628	4.795566	1.526900	2.228933	0.457034	0.128063	0.324091	0.090812	
192000	-45.111512	480	0.474605	1.081310	7.335296	3.487853	0.690728	0.280040	0.020799	0.008433	
193000	-42.528067	424	1.609004	3.277893	2.960656	4.959418	0.455931	0.306857	0.141786	0.095427	
194000	-43.835703	201	0.618921	0.070669	1.037420	2.884404	0.628706	0.371198	0.000060	0.000036	
195000	-42.755056	181	1.564770	4.913381	2.428215	3.498571	0.262029	0.243555	0.256241	0.238175	
196000	-43.379805	88	2.076499	3.725323	0.971244	2.639221	0.213707	0.444206	0.111119	0.230969	
197000	-42.380252	224	1.399394	1.226371	3.365377	3.222657	0.623320	0.314160	0.041568	0.020951	
198000	-40.919854	394	1.974643	3.955245	2.950522	1.513872	0.725866	0.046023	0.214511	0.013601	
199000	-42.936955	326	2.065678	2.727437	3.591878	2.145469	0.698551	0.141587	0.132921	0.026941	
200000	-41.482949	452	1.069658	3.053177	4.512961	1.941204	0.565843	0.101480	0.282086	0.050590	
201000	-41.418502	333	1.535536	1.650567	3.212142	1.111681	0.902315	0.033914	0.061461	0.002310	
202000	-41.267779	359	1.776443	6.181528	2.163112	4.007002	0.323451	0.224114	0.267257	0.185178	
