Default schedule
Rate	71.43
CV	28.57
Rate Tried	% Accepted	CV Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
227	0.295154	73	0.424658	0.814570	300	0.326667	0.326667	0.289957	
297	0.303030	103	0.495146	0.814570	400	0.352500	0.352500	0.290418	
370	0.297297	130	0.461538	0.814570	500	0.340000	0.340000	0.290417	
445	0.287640	155	0.432258	0.814570	600	0.325000	0.325000	0.290285	
513	0.276803	187	0.454545	0.814570	700	0.324286	0.324286	0.290381	
589	0.286927	211	0.483412	0.814570	800	0.338750	0.338750	0.290867	
651	0.279570	249	0.493976	0.814570	900	0.338889	0.338889	0.291026	
718	0.289694	282	0.485816	0.814570	1000	0.345000	0.345000	0.291378	
75	0.253333	25	0.680000	0.814570	100	0.360000	0.360000	0.291598	
151	0.271523	49	0.571429	0.814570	200	0.345000	0.345000	0.291721	
226	0.274336	74	0.527027	0.814570	300	0.336667	0.336667	0.291812	
299	0.264214	101	0.514851	0.814570	400	0.327500	0.327500	0.291838	
369	0.284553	131	0.458015	0.814570	500	0.330000	0.330000	0.291991	
442	0.285068	158	0.468354	0.814570	600	0.333333	0.333333	0.292174	
514	0.270428	186	0.462366	0.814570	700	0.321429	0.321429	0.292041	
586	0.261092	214	0.481308	0.814570	800	0.320000	0.320000	0.292098	
662	0.255287	238	0.474790	0.814570	900	0.313333	0.313333	0.291997	
734	0.253406	266	0.481203	0.814570	1000	0.314000	0.314000	0.292085	
71	0.140845	29	0.448276	0.814570	100	0.230000	0.230000	0.291891	
143	0.230769	57	0.473684	0.814570	200	0.300000	0.300000	0.292134	
219	0.200913	81	0.444444	0.814570	300	0.266667	0.266667	0.291849	
298	0.228188	102	0.411765	0.814570	400	0.275000	0.275000	0.291874	
375	0.264000	125	0.408000	0.814570	500	0.300000	0.300000	0.292206	
441	0.258503	159	0.377358	0.814570	600	0.290000	0.290000	0.292046	
510	0.260784	190	0.405263	0.814570	700	0.300000	0.300000	0.292254	
580	0.253448	220	0.404545	0.814570	800	0.295000	0.295000	0.292156	
648	0.256173	252	0.420635	0.814570	900	0.302222	0.302222	0.292362	
723	0.255878	277	0.436823	0.814570	1000	0.306000	0.306000	0.292506	
73	0.219178	27	0.407407	0.814570	100	0.270000	0.270000	0.292438	
145	0.255172	55	0.345455	0.814570	200	0.280000	0.280000	0.292431	
219	0.223744	81	0.370370	0.814570	300	0.263333	0.263333	0.292243	
295	0.250847	105	0.380952	0.814570	400	0.285000	0.285000	0.292416	
368	0.258152	132	0.401515	0.814570	500	0.296000	0.296000	0.292558	
435	0.257471	165	0.400000	0.814570	600	0.296667	0.296667	0.292581	
506	0.252964	194	0.391753	0.814570	700	0.291429	0.291429	0.292484	
579	0.250432	221	0.389140	0.814570	800	0.288750	0.288750	0.292417	
644	0.259317	256	0.398438	0.814570	900	0.298889	0.298889	0.292676	
720	0.259722	280	0.414286	0.814570	1000	0.303000	0.303000	0.292815	
76	0.289474	24	0.750000	0.814570	100	0.400000	0.400000	0.293129	
148	0.277027	52	0.538462	0.814570	200	0.345000	0.345000	0.293120	
222	0.297297	78	0.538462	0.814570	300	0.360000	0.360000	0.293403	
294	0.275510	106	0.518868	0.814570	400	0.340000	0.340000	0.293364	
367	0.264305	133	0.503759	0.814570	500	0.328000	0.328000	0.293325	
435	0.289655	165	0.503030	0.814570	600	0.348333	0.348333	0.293778	
506	0.290514	194	0.505155	0.814570	700	0.350000	0.350000	0.293968	
565	0.297345	235	0.540426	0.814570	800	0.368750	0.368750	0.294561	
634	0.293375	266	0.530075	0.814570	900	0.363333	0.363333	0.294633	
703	0.284495	297	0.535354	0.814570	1000	0.359000	0.359000	0.294706	
76	0.171053	24	0.666667	0.814570	100	0.290000	0.290000	0.294692	
160	0.225000	40	0.575000	0.814570	200	0.295000	0.295000	0.294708	
228	0.223684	72	0.541667	0.814570	300	0.300000	0.300000	0.294751	
304	0.213816	96	0.500000	0.814570	400	0.282500	0.282500	0.294568	
378	0.190476	122	0.500000	0.814570	500	0.266000	0.266000	0.294302	
442	0.183258	158	0.506329	0.814570	600	0.268333	0.268333	0.294261	
506	0.211462	194	0.510309	0.814570	700	0.294286	0.294286	0.294698	
